,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,frère,brother
11,laisser,let
12,car,because
13,mettre,to put
14,aucun,no
15,laisse,leash
16,chaque,each
17,parlé,speak
18,arrivé,come
19,devrait,should
20,bébé,baby
21,longtemps,long time
22,heures,hours
23,vont,will
24,pendant,while
25,revoir,meet again
26,aucune,any
27,parle,speak
28,compris,understood
29,savais,knew
30,étaient,were
31,attention,Warning
32,voici,here is
33,pourrais,could
34,affaire,case
35,donner,give
36,type,type
37,leurs,their
38,donné,given
39,train,train
40,corps,body
41,endroit,place
42,yeux,eyes
43,écoute,listen
44,dont,whose
45,trouve,find
46,premier,first
47,perdu,lost
48,main,hand
49,première,first
50,côté,side
51,pouvoir,power
52,vieux,old
53,sois,be
54,tiens,here
55,matin,morning
56,tellement,so much
57,enfant,child
58,point,point
59,venu,came
60,suite,after
61,pardon,sorry
62,venez,come
63,vers,towards
64,minutes,minutes
65,demandé,request
66,chambre,bedroom
67,mis,placed
68,belle,beautiful
69,droit,law
70,aujourd'hui,today
71,mari,husband
72,cause,cause
73,enfin,finally
74,espère,hope
75,eau,water
76,parti,left
77,nouvelle,new
78,boulot,job
79,arrêter,Stop
80,dirait,would say
81,terre,Earth
82,compte,account
83,donne,given
84,loin,far
85,fin,end
86,croire,believe
87,chérie,sweetheart
88,gros,large
89,plutôt,rather
90,aura,will have
91,filles,girls
92,jouer,to play
93,bureau,office
